No,Role,Email,Password
1,Boss,boss1@berkah.com,Boss@123456
2,Boss,boss2@berkah.com,Boss@234567
3,Boss,boss3@berkah.com,Boss@345678
1,Karyawan,karyawan01@berkah.com,Karyawan@01
2,Karyawan,karyawan02@berkah.com,Karyawan@02
3,Karyawan,karyawan03@berkah.com,Karyawan@03
4,Karyawan,karyawan04@berkah.com,Karyawan@04
5,Karyawan,karyawan05@berkah.com,Karyawan@05
6,Karyawan,karyawan06@berkah.com,Karyawan@06
7,Karyawan,karyawan07@berkah.com,Karyawan@07
8,Karyawan,karyawan08@berkah.com,Karyawan@08
9,Karyawan,karyawan09@berkah.com,Karyawan@09
10,Karyawan,karyawan10@berkah.com,Karyawan@10
11,Karyawan,karyawan11@berkah.com,Karyawan@11
12,Karyawan,karyawan12@berkah.com,Karyawan@12
13,Karyawan,karyawan13@berkah.com,Karyawan@13
14,Karyawan,karyawan14@berkah.com,Karyawan@14
15,Karyawan,karyawan15@berkah.com,Karyawan@15
16,Karyawan,karyawan16@berkah.com,Karyawan@16
17,Karyawan,karyawan17@berkah.com,Karyawan@17
18,Karyawan,karyawan18@berkah.com,Karyawan@18
19,Karyawan,karyawan19@berkah.com,Karyawan@19
20,Karyawan,karyawan20@berkah.com,Karyawan@20
